Foliar_Nutrient ,Hardwoods,Ecotone,Spruce-fir
P,0.45,-1.24,0.2
K,1.29,-0.54,-1.2
Ca,0.58,-0.99,-0.85
Mg,0.47,-1.37,-0.2
Al,-0.18,0.79,1.46
