mountain,Site,PlotID,site,pH,OM_Pct,Avail_P,K,Ca,Mg,Zn,B,Mn,Cu,Fe,Al,Na,S,Exch_Acid,ECEC,,,,,,,,,,,,
MAN,800,MAN-800,ECO,3.92,33.722,2.3,93,124,39,2.45,0.35,22.3,0.5,63.8,185,12,37,15.42,1.18,,,,,,,,,,,,
ABE,900,ABE-900,SP,3.61,39.364,4.3,63,130,44,3.35,0.1,18.2,0.5,23,66,8,31,17.1,1.18,,,,,,,,,,,,
ABE,900,ABE-900,SP,3.52,39.273,5.8,70,161,54,4.55,0.1,21.1,0.45,19.2,57,10,37,17.33,1.43,,,,,,,,,,,,
ABE,900,ABE-900,SP,3.57,40.001,4.5,66,135,45,3.85,0.1,18,0.55,22.6,66,9,33,17.36,1.22,,,,,,,,,,,,
JAY,900,JAY-900,SP,3.48,56.29,16.5,82,344,81,5.25,0.05,36.2,0.15,3.2,17,10,28,20.86,2.61,,,,,,,,,,,,
JAY,900,JAY-900,SP,3.67,21.073,15.65,98,152,65,3.1,0.15,37.4,0.25,24.6,19,10,29,12.88,1.55,,,,,,,,,,,,
JAY,900,JAY-900,SP,3.7,20.345,8.4,72,105,46,2.7,0.25,25.5,0.3,44.6,32,8,28,12.69,1.09,,,,,,,,,,,,
KIL,900,KIL-900,SP,4.2,22.347,2.05,75,93,27,1.8,0.65,17.2,0.4,113.2,518,6,31,13.49,0.88,,,,,,,,,,,,
KIL,900,KIL-900,SP,3.5,12.701,3.7,65,114,32,2.45,0.25,5.7,0.2,48.7,79,9,24,11.9,1,,,,,,,,,,,,
KIL,900,KIL-900,SP,3.67,28.626,10.7,100,208,47,3.45,0.05,15.8,0.1,7.7,46,9,31,14.58,1.69,,,,,,,,,,,,
MAN,900,MAN-900,SP,3.7,20.436,2.35,58,129,48,2.25,0.3,6.6,0.3,54.1,67,18,26,12.85,1.19,,,,,,,,,,,,
MAN,900,MAN-900,SP,3.47,41.366,10.3,73,229,71,4.4,0.05,11.8,0.1,3.1,18,17,28,17.77,1.92,,,,,,,,,,,,
MAN,900,MAN-900,SP,3.59,32.266,9.3,87,157,54,2.8,0.05,13,0.15,6.4,22,12,29,15.5,1.46,,,,,,,,,,,,
ABE,1000,ABE-1000,SP,3.71,54.288,2.8,67,229,36,4.35,0.2,17.4,0.7,32.7,174,9,36,20.35,1.62,,,,,,,,,,,,
ABE,1000,ABE-1000,SP,3.69,57.655,2.95,67,204,33,3.95,0.15,15.2,0.6,24.7,145,9,32,21.01,1.47,,,,,,,,,,,,
ABE,1000,ABE-1000,SP,3.75,55.107,2.8,63,200,31,3.55,0.15,15.2,0.65,28.2,165,10,30,20.37,1.42,,,,,,,,,,,,
JAY,1000,JAY-1000,SP,3.99,43.55,2.55,118,127,57,2.5,0.65,46,0.6,116.4,143,10,42,17.1,1.41,,,,,,,,,,,,
JAY,1000,JAY-1000,SP,4.15,36.27,2.75,143,92,59,2,0.7,111.1,0.8,129.3,187,11,46,15.25,1.32,,,,,,,,,,,,
JAY,1000,JAY-1000,SP,3.72,24.895,3.15,91,131,50,1.7,1.3,7,0.85,230.3,102,8,38,13.86,1.31,,,,,,,,,,,,
KIL,1000,KIL-1000,SP,3.64,39.091,3.45,83,145,46,3.45,0.15,8.4,0.25,23.1,96,7,36,17.07,1.32,,,,,,,,,,,,
KIL,1000,KIL-1000,SP,3.53,39,8.8,72,243,50,4.65,0.05,10.8,0.15,8.1,38,8,32,17.16,1.82,,,,,,,,,,,,
KIL,1000,KIL-1000,SP,4.17,51.831,1.55,58,93,29,3.15,0.1,19.5,0.25,9.9,439,8,33,19.46,0.86,,,,,,,,,,,,
MAN,1000,MAN-1000,SP,3.91,34.086,2.15,75,69,35,1.75,0.95,4.1,0.65,177.3,179,12,37,15.51,0.83,,,,,,,,,,,,
MAN,1000,MAN-1000,SP,4,27.534,2.45,99,108,48,2.65,0.5,10.1,0.5,91.8,155,9,35,13.76,1.19,,,,,,,,,,,,
MAN,1000,MAN-1000,SP,3.87,23.712,1.6,63,51,30,1.8,0.85,4.4,0.7,159,155,10,32,13.36,0.67,,,,,,,,,,,,
